|Title|Artist
256|The Tears of a Clown|Smokey Robinson & the Miracles
257|My Sweet Lord / Isn't It a Pity|George Harrison
258|My Sweet Lord / Isn't It a Pity|George Harrison
259|Knock Three Times|Dawn
260|One Bad Apple|The Osmonds
261|Me and Bobby McGee|Janis Joplin
262|Just My Imagination (Running Away with Me)|The Temptations
263|Joy to the World|Three Dog Night
264|Brown Sugar|The Rolling Stones
265|Want Ads|Honey Cone
266|It's Too Late / I Feel the Earth Move|Carole King
267|Indian Reservation (The Lament of the Cherokee Reservation Indian)|The Raiders
268|You've Got a Friend|James Taylor
269|How Can You Mend a Broken Heart|Bee Gees
270|Uncle Albert/Admiral Halsey|Paul & Linda McCartney
271|Go Away Little Girl|Donny Osmond
272|Maggie May / Reason to Believe|Rod Stewart
273|Gypsys, Tramps & Thieves|Cher
274|Theme from Shaft|Isaac Hayes
275|Family Affair|Sly and the Family Stone
276|Brand New Key|Melanie
277|Brand New Key|Melanie
278|American Pie|Don McLean
279|Let's Stay Together|Al Green
280|Without You|Nilsson
281|Heart of Gold|Neil Young
282|A Horse with No Name|America
283|The First Time Ever I Saw Your Face|Roberta Flack
284|Oh Girl|The Chi-Lites
285|I'll Take You There|The Staple Singers
286|The Candy Man|Sammy Davis Jr.
287|Song Sung Blue|Neil Diamond
288|Lean on Me|Bill Withers
289|Alone Again (Naturally)|Gilbert O'Sullivan
290|Brandy (You're a Fine Girl)|Looking Glass
291|Alone Again (Naturally)|Gilbert O'Sullivan
292|Black and White|Three Dog Night
293|Baby, Don't Get Hooked on Me|Mac Davis
294|Ben|Michael Jackson
295|My Ding-a-Ling|Chuck Berry
296|I Can See Clearly Now|Johnny Nash
297|Papa Was a Rollin' Stone|The Temptations
298|I Am Woman|Helen Reddy
299|Me and Mrs. Jones|Billy Paul
300|You're So Vain|Carly Simon
301|Superstition|Stevie Wonder
302|Crocodile Rock|Elton John
303|Killing Me Softly with His Song|Roberta Flack
304|Love Train|The O'Jays
305|Killing Me Softly with His Song|Roberta Flack
306|The Night the Lights Went Out in Georgia|Vicki Lawrence
307|Tie a Yellow Ribbon Round the Ole Oak Tree|Dawn featuring Tony Orlando
308|You Are the Sunshine of My Life|Stevie Wonder
309|Frankenstein|The Edgar Winter Group
310|My Love|Paul McCartney & Wings
311|Give Me Love (Give Me Peace on Earth)|George Harrison
312|Will It Go Round in Circles|Billy Preston
313|Bad, Bad Leroy Brown|Jim Croce
314|The Morning After|Maureen McGovern
315|Touch Me in the Morning|Diana Ross
316|Brother Louie|Stories
317|Let's Get It On|Marvin Gaye
318|Delta Dawn|Helen Reddy
319|Let's Get It On|Marvin Gaye
320|We're an American Band|Grand Funk
321|Half-Breed|Cher
322|Angie|The Rolling Stones
323|Midnight Train to Georgia|Gladys Knight & the Pips
324|Keep on Truckin'|Eddie Kendricks
325|Photograph|Ringo Starr
326|Top of the World|The Carpenters
327|The Most Beautiful Girl|Charlie Rich
328|Time in a Bottle|Jim Croce
329|Time in a Bottle|Jim Croce
330|The Joker|Steve Miller Band
331|Show and Tell|Al Wilson
332|You're Sixteen|Ringo Starr
333|The Way We Were|Barbra Streisand
334|Love's Theme|Love Unlimited Orchestra
335|The Way We Were|Barbra Streisand
336|Seasons in the Sun|Terry Jacks
337|Dark Lady|Cher
338|Sunshine on My Shoulders|John Denver
339|Hooked on a Feeling|Blue Swede
340|Bennie and the Jets|Elton John
341|TSOP (The Sound of Philadelphia)|MFSB and The Three Degrees
342|The Loco-Motion|Grand Funk
343|The Streak|Ray Stevens
344|Band on the Run|Paul McCartney & Wings
345|Billy Don't Be a Hero|Bo Donaldson and The Heywoods
346|Sundown|Gordon Lightfoot
347|Rock the Boat|The Hues Corporation
348|Rock Your Baby|George McCrae
349|Annie's Song|John Denver
350|Feel Like Makin' Love|Roberta Flack
351|The Night Chicago Died|Paper Lace
352|(You're) Having My Baby|Paul Anka and Odia Coates
353|I Shot the Sheriff|Eric Clapton
354|Can't Get Enough of Your Love, Babe|Barry White
355|Rock Me Gently|Andy Kim
356|I Honestly Love You|Olivia Newton-John
357|Nothing From Nothing|Billy Preston
358|Then Came You|Dionne Warwick and The Spinners
359|You Haven't Done Nothin'|Stevie Wonder
360|You Ain't Seen Nothing Yet|Bachman–Turner Overdrive
361|Whatever Gets You thru the Night|John Lennon
362|I Can Help|Billy Swan
363|Kung Fu Fighting|Carl Douglas
364|Cat's in the Cradle|Harry Chapin
365|Angie Baby|Helen Reddy
366|Lucy in the Sky with Diamonds|Elton John
367|Mandy|Barry Manilow
368|Please Mr. Postman|The Carpenters
369|Laughter in the Rain|Neil Sedaka
370|Fire|Ohio Players
371|You're No Good|Linda Ronstadt
372|Pick Up the Pieces|Average White Band
373|Best of My Love|Eagles
374|Have You Never Been Mellow|Olivia Newton-John
375|Black Water|The Doobie Brothers
376|My Eyes Adored You|Frankie Valli
377|Lady Marmalade|Labelle
378|Lovin' You|Minnie Riperton
379|Philadelphia Freedom|Elton John Band
380|(Hey Won't You Play) Another Somebody Done Somebody Wrong Song|B. J. Thomas
381|He Don't Love You (Like I Love You)|Tony Orlando and Dawn
382|Shining Star|Earth, Wind & Fire
383|Before the Next Teardrop Falls|Freddy Fender
384|Thank God I'm a Country Boy|John Denver
385|Sister Golden Hair|America
386|Love Will Keep Us Together|Captain & Tennille
387|Listen to What the Man Said|Wings
388|The Hustle|Van McCoy and the Soul City Symphony
389|One of These Nights|Eagles
390|Jive Talkin'|Bee Gees
391|Fallin' in Love|Hamilton, Joe Frank & Reynolds
392|Get Down Tonight|KC and the Sunshine Band
393|Rhinestone Cowboy|Glen Campbell
394|Fame|David Bowie
395|I'm Sorry|John Denver
396|Fame|David Bowie
397|Bad Blood|Neil Sedaka
398|Island Girl|Elton John
399|That's the Way (I Like It)|KC and the Sunshine Band
400|Fly, Robin, Fly|Silver Convention
401|That's the Way (I Like It)|KC and the Sunshine Band
402|Let's Do It Again|The Staple Singers
403|Saturday Night|Bay City Rollers
404|Convoy|C. W. McCall
405|I Write the Songs|Barry Manilow
406|Theme from Mahogany (Do You Know Where You're Going To)|Diana Ross
407|Love Rollercoaster|Ohio Players
408|50 Ways to Leave Your Lover|Paul Simon
409|Theme from S.W.A.T.|Rhythm Heritage
410|Love Machine|The Miracles
411|December, 1963 (Oh, What a Night)|The Four Seasons
412|Disco Lady|Johnnie Taylor
413|Let Your Love Flow|The Bellamy Brothers
414|Welcome Back|John Sebastian
415|Boogie Fever|The Sylvers
416|Silly Love Songs|Wings
417|Love Hangover|Diana Ross
418|Silly Love Songs|Wings
419|Afternoon Delight|Starland Vocal Band
420|Kiss and Say Goodbye|The Manhattans
421|Don't Go Breaking My Heart|Elton John and Kiki Dee
422|You Should Be Dancing|Bee Gees
423|(Shake, Shake, Shake) Shake Your Booty|KC and the Sunshine Band
424|Play That Funky Music|Wild Cherry
425|A Fifth of Beethoven|Walter Murphy and the Big Apple Band
426|Disco Duck|Rick Dees and His Cast of Idiots
427|If You Leave Me Now|Chicago
428|Rock'n Me|Steve Miller Band
429|Tonight's the Night (Gonna Be Alright)|Rod Stewart
430|Tonight's the Night (Gonna Be Alright)|Rod Stewart
431|You Don't Have to Be a Star (To Be in My Show)|Marilyn McCoo and Billy Davis Jr.
432|You Make Me Feel Like Dancing|Leo Sayer
433|I Wish|Stevie Wonder
434|Car Wash|Rose Royce
435|Torn Between Two Lovers|Mary MacGregor
436|Blinded by the Light|Manfred Mann's Earth Band
437|New Kid in Town|Eagles
